epoch,train_score,val_score
1,0.9965709478727045,0.9539764464341727
2,0.9977971369909889,0.956799452507913
3,0.9980609102315501,0.957683424106761
4,0.9982177483745865,0.9580256066611538
5,0.9982320063875898,0.9584533348541446
6,0.9982177483745865,0.9585103652798768
7,0.9982248773810882,0.9582252131512162
8,0.9982320063875898,0.9582252131512162
9,0.9982605224135964,0.9583107587898144
10,0.9982605224135964,0.9583392740026804
11,0.9982605224135964,0.9584248196412786
12,0.9982605224135964,0.9584533348541446
13,0.9982605224135964,0.9584248196412786
14,0.9982676514200981,0.9583963044284125
15,0.9982676514200981,0.9586814565570732
16,0.9982819094331014,0.9586529413442071
17,0.9982819094331014,0.9588525478342695
18,0.9982819094331014,0.9587955174085374
19,0.9982819094331014,0.9588525478342695
20,0.9982819094331014,0.9592232456015284
21,0.9982819094331014,0.9591091847500641
22,0.9982819094331014,0.9592232456015284
23,0.9982819094331014,0.9593658216658587
24,0.9982819094331014,0.9593658216658587
25,0.9982819094331014,0.9591947303886623
26,0.9982819094331014,0.9594513673044569
27,0.9982819094331014,0.9592232456015284
28,0.9982819094331014,0.9593943368787248
29,0.9982819094331014,0.9593943368787248
30,0.9982819094331014,0.9593373064529926
