epoch,train_score,val_score
1,0.9964640127751796,0.9557443896318686
2,0.9978113950039923,0.9571416350623058
3,0.9980609102315501,0.9575123328295646
4,0.9981963613550816,0.9579400610225556
5,0.9982177483745865,0.9588240326214035
6,0.9982462644005932,0.9584533348541446
7,0.9982320063875898,0.9583963044284125
8,0.9982391353940915,0.9577689697453592
9,0.9982462644005932,0.9583107587898144
10,0.9982605224135964,0.9587955174085374
11,0.9982747804265998,0.9589666086857338
12,0.9982747804265998,0.9589666086857338
13,0.9982747804265998,0.9591091847500641
14,0.9982819094331014,0.9589095782600017
15,0.9982747804265998,0.9591376999629302
16,0.9982819094331014,0.9592517608143944
17,0.9982819094331014,0.959052154324332
18,0.9982819094331014,0.9587955174085374
19,0.9982819094331014,0.959052154324332
20,0.9982819094331014,0.9591662151757963
21,0.9982819094331014,0.9589951238985999
22,0.9982819094331014,0.9588525478342695
23,0.9982819094331014,0.9587955174085374
24,0.9982819094331014,0.9589380934728677
25,0.9982819094331014,0.9589380934728677
26,0.9982819094331014,0.9591947303886623
27,0.9982819094331014,0.9590806695371981
28,0.9982819094331014,0.9592232456015284
29,0.9982819094331014,0.9589951238985999
30,0.9982819094331014,0.9590236391114659
