epoch,train_score,val_score
1,0.997140522875817,0.9539479312213066
2,0.9981041561923915,0.9558584504833328
3,0.9982926931456343,0.9564857851663863
4,0.9983450645215352,0.9575408480424307
5,0.9983660130718954,0.9577974849582253
6,0.9983764873470756,0.9573412415523682
7,0.9983764873470756,0.9577689697453592
8,0.9983764873470756,0.9575978784681628
9,0.9983817244846657,0.9580541218740198
10,0.9983817244846657,0.9578545153839574
11,0.9983817244846657,0.9583963044284125
12,0.9983817244846657,0.958111152299752
13,0.9983817244846657,0.9583392740026804
14,0.9983817244846657,0.9583107587898144
15,0.9983817244846657,0.9586814565570732
16,0.9983817244846657,0.9584248196412786
17,0.9983817244846657,0.9581681827254841
18,0.9983817244846657,0.9583107587898144
19,0.9983817244846657,0.9581681827254841
20,0.9983817244846657,0.9585388804927428
21,0.9983817244846657,0.9583963044284125
22,0.9983817244846657,0.9585103652798768
23,0.9983817244846657,0.9581966979383502
24,0.9983817244846657,0.9583107587898144
25,0.9983817244846657,0.9582822435769484
26,0.9983817244846657,0.9583963044284125
27,0.9983817244846657,0.9582822435769484
28,0.9983817244846657,0.9583677892155464
29,0.9983817244846657,0.9583107587898144
30,0.9983817244846657,0.9583677892155464
