epoch,train_logloss,val_logloss
1,0.5473674840870763,0.5472606363791511
2,0.48515001077723774,0.48531271960330197
3,0.4353428237247259,0.43556982133334743
4,0.39355039345439397,0.39405562978086706
5,0.3587180934210081,0.3594114156726449
6,0.32842493292084063,0.329253955848655
7,0.3018588021416075,0.30293041394157233
8,0.2788802543003845,0.28018489749793835
9,0.2591100433495886,0.260663953009553
10,0.2416996905703178,0.243509362690558
11,0.22613145197464746,0.22828194368334803
12,0.2119734334750172,0.21457237520946768
13,0.1995806202903905,0.2025033706974584
14,0.1886123831507005,0.19166771568129132
15,0.17896835093485372,0.18232071216871287
16,0.1702205496924101,0.1738244952045636
17,0.16218847587652713,0.16609519043886709
18,0.15525585414453075,0.15932590817201553
19,0.14899624116222993,0.15320370409056308
20,0.14328517923461961,0.14771781764020955
21,0.1380177541061808,0.14262278304362308
22,0.13357248245837772,0.13832392212390243
23,0.129441762110723,0.13434563570950211
24,0.12575920952748632,0.13077693957179057
25,0.12223510113175345,0.12739115430939185
26,0.11916202932106325,0.12442853987854739
27,0.11621341375701849,0.12167107089635869
28,0.113517369878793,0.11925174889055064
29,0.11101487378591775,0.11698766318610228
30,0.10887895452476211,0.11503346099683237
31,0.10671152049061758,0.11310872789814394
32,0.10507386902070237,0.11158219272837362
33,0.10326069362410151,0.10998157949560967
34,0.10158343625338347,0.10859010353047167
35,0.10026099871122961,0.10738934955735398
36,0.0990133207955159,0.10627757128013227
37,0.09791038490013772,0.10524233088704417
38,0.09703576046330321,0.10447729702844748
39,0.09607754715543008,0.10370794055271859
40,0.0953053133192326,0.10306907323094511
41,0.09464625874423703,0.10247721262323178
42,0.09380224906807415,0.1017783435884757
43,0.09320425255556358,0.10122931539952766
44,0.09243331509464899,0.10057936278032281
45,0.0917631952523334,0.10006309950613715
46,0.09136244691606565,0.09967950932803615
47,0.09086465671192576,0.0992704256526525
48,0.09018826001678755,0.09879433492406474
49,0.08978381317690289,0.09848668923027987
50,0.08938627671774978,0.09819445163369671
51,0.08893209527535183,0.09785544204633816
52,0.0882958917143118,0.0974503053354056
53,0.08755143730329178,0.09701061054366474
54,0.08730740246682644,0.09681151077197667
55,0.08669986268911603,0.09636260427676009
56,0.08638243840892948,0.09614869711379244
57,0.08573873266229301,0.09569218215611634
58,0.08550391753908515,0.09551375758552653
59,0.08520315486037092,0.09529155998143898
60,0.08478479333306221,0.09501338850668753
61,0.0846318358195885,0.09488882224449072
62,0.08435572500325429,0.09469132727699556
63,0.08408604394140926,0.09452024112190902
64,0.08394193785282437,0.0944009004194489
65,0.08361748846973141,0.09418828051183159
66,0.08353420228792616,0.09412728658927844
67,0.08342083538570635,0.09405138180253064
68,0.08279274203257926,0.09377460093266639
69,0.08235288485034424,0.09353789759002946
70,0.08181062035472081,0.09327066840132317
71,0.08153556165054777,0.09315138007479987
72,0.0814124829471682,0.09307495596030972
73,0.08106178114811441,0.09295344624859705
74,0.08079966665456585,0.09284611473634556
75,0.08047898559469252,0.09270391113878294
76,0.08025778682209568,0.0925656291237187
77,0.0796385538132481,0.09233710723243724
78,0.0788183421764132,0.0920296658553831
79,0.07849400858680652,0.0917972676329022
80,0.0783216062816772,0.09173477279474211
81,0.07785669658378903,0.09168980391938311
82,0.07740832528009588,0.09156705949198804
83,0.07700559154157108,0.09143934760752921
84,0.0768808038854772,0.09138230857967114
85,0.07606681837407707,0.09125630243217972
86,0.07586542087996148,0.09114623857768045
87,0.0755099842311257,0.09098012016306045
88,0.07537974033353538,0.09095314029183824
89,0.07481748227010913,0.09076902710048369
90,0.07473485110279401,0.090696938158715
91,0.07415265121466333,0.0904387876081298
92,0.07390009204896125,0.09031764640073159
93,0.07323298968930195,0.09023528992567625
94,0.0729786117855868,0.0901380571146631
95,0.07262473623286811,0.09002395688151382
96,0.07248116343511271,0.08997649716540373
97,0.0721927511284209,0.089917150649368
98,0.07200303021572996,0.08989562414172379
99,0.07161364385394575,0.08984936156810316
100,0.07103166774297676,0.08978413396326147
