epoch,train_logloss,val_logloss
1,0.6123735065148522,0.6128472278036483
2,0.547162446640563,0.5478229287899932
3,0.4922346455821225,0.49326989291099677
4,0.44494104318558614,0.4464235834271925
5,0.40491983098608025,0.4067876270803211
6,0.3704960504573295,0.3727931636925919
7,0.3404505129624798,0.343156708552556
8,0.3136501928708838,0.3168607407409568
9,0.29061370288459354,0.29418652229277265
10,0.2708292913554323,0.27456285377751977
11,0.2532533753704038,0.2571193256641346
12,0.23764667718152924,0.24179139064549007
13,0.22314818276704865,0.22785684372669393
14,0.21049084464964934,0.21557420421127327
15,0.19896806676566783,0.20444399734287702
16,0.18897989470167834,0.19472851571420216
17,0.17955499394510852,0.18562111483199067
18,0.171525590254179,0.17777162135576222
19,0.1639402078135535,0.17050042087142891
20,0.15720095213005378,0.16400815661068283
21,0.15133487767769666,0.15824545110877566
22,0.14579813766254754,0.1529537177206721
23,0.14119931488491497,0.14850226529933688
24,0.13691129453044548,0.1444632192340289
25,0.13304031081388415,0.14068869713711596
26,0.12954320394070684,0.13727639051106824
27,0.1261823331929468,0.13412286232817097
28,0.12299549419264938,0.13110627335583327
29,0.12025393794234884,0.12859898772491257
30,0.1179285331218183,0.12642714144330752
31,0.11550350187222296,0.12429352868104568
32,0.113164653889607,0.12220992328121444
33,0.11099716983918759,0.12036189851948478
34,0.1091521679874349,0.11864911062494904
35,0.10771975294636889,0.11722998308006324
36,0.1063031420518027,0.11596168421556541
37,0.10489718296898695,0.1146398536361302
38,0.10361364501784821,0.11349240720975609
39,0.10260045842640074,0.11257922570352981
40,0.10157705393786898,0.1117360084542694
41,0.10072797631023572,0.11099531156260534
42,0.0998394774291187,0.11018730234921724
43,0.09903021415402256,0.10951212842995023
44,0.09814783297509734,0.10869675920810139
45,0.09746589775139644,0.1080599230927633
46,0.09689980592888203,0.10761796174163908
47,0.09613519086604744,0.10707972009157886
48,0.09541526708981411,0.10653674224822172
49,0.094929590130705,0.10623327149281277
50,0.09454035858055299,0.10588710100301901
51,0.09398273359435713,0.10546440793460098
52,0.09339228481465447,0.10506867918803019
53,0.09306848248795513,0.10477540324364516
54,0.09248912847912942,0.10443426168157324
55,0.09217465619654433,0.10418404382952963
56,0.0914242287164684,0.10368334515896535
57,0.09121947290659792,0.10351636569894675
58,0.09074541672420129,0.10316876696985688
59,0.09023675846252474,0.10288082932029713
60,0.08972551110774576,0.10259981358564926
61,0.08954376217516305,0.10243984217745378
62,0.08908769013906431,0.10213917605278341
63,0.08888687472911044,0.1020598600593425
64,0.08861593782435542,0.10185498151822364
65,0.08798846688816941,0.1015506956864561
66,0.0877135871458194,0.10139644134377324
67,0.08755247327910433,0.10125206158597495
68,0.08740919960781285,0.10113767694891038
69,0.08729690005170115,0.10104243845023794
70,0.08709832807593393,0.100837664562597
71,0.08603054379431745,0.10033370981833634
72,0.0852557756953182,0.09995184142987029
73,0.08463339089595456,0.09959926987036939
74,0.08412228867497541,0.09933551271404314
75,0.08381736135901222,0.09913693634467602
76,0.08341749669858671,0.09893155653629145
77,0.08299082603467771,0.09877194402040651
78,0.08256622914897277,0.09861736845926393
79,0.08248690708344328,0.09855328763715158
80,0.08217394670986414,0.09840342984293797
81,0.0820522521176074,0.09830980943481804
82,0.08167678647025048,0.09819692347658966
83,0.08108645499977278,0.09804575033404692
84,0.08043784571017316,0.09771851494766266
85,0.07998700892736303,0.09749132088463186
86,0.07933587880573661,0.0971429004643568
87,0.0786516402656881,0.09697660335139578
88,0.07842835471177015,0.0968510657405153
89,0.0779959664565791,0.09669565764628449
90,0.07778820946958312,0.09659832574321701
91,0.0772460281758135,0.09644842572270071
92,0.07712893977007866,0.09626812683041862
93,0.07692794597042586,0.0962321398872522
94,0.07611857699634736,0.09603976078822286
95,0.07597172599927439,0.09593703449259836
96,0.07559319701507099,0.09579439380282359
97,0.07527682186528871,0.09564050997198587
98,0.07490709788725296,0.09553457665018582
99,0.0748078488294921,0.09545992611646188
100,0.07437411162797984,0.09523212928224407
