epoch,train_score,val_score
1,0.9964283677426714,0.955487752716074
2,0.9976830728869625,0.9577689697453592
3,0.9980609102315501,0.9573412415523682
4,0.9981892323485799,0.9573412415523682
5,0.9982106193680849,0.9576263936810289
6,0.9982462644005932,0.958111152299752
7,0.9982391353940915,0.9583392740026804
8,0.9982462644005932,0.9587384869828053
9,0.9982676514200981,0.9589380934728677
10,0.9982676514200981,0.9590806695371981
11,0.9982605224135964,0.9593373064529926
12,0.9982533934070947,0.9589951238985999
13,0.9982605224135964,0.9589666086857338
14,0.9982676514200981,0.9592232456015284
15,0.9982676514200981,0.9589951238985999
16,0.9982819094331014,0.959479882517323
17,0.9982819094331014,0.9594228520915908
18,0.9982819094331014,0.9594513673044569
19,0.9982819094331014,0.9596794890073854
20,0.9982819094331014,0.9594513673044569
21,0.9982819094331014,0.9595369129430551
22,0.9982819094331014,0.9594513673044569
23,0.9982819094331014,0.9595654281559212
24,0.9982819094331014,0.9595369129430551
25,0.9982819094331014,0.9593943368787248
26,0.9982819094331014,0.959508397730189
27,0.9982819094331014,0.9594513673044569
28,0.9982819094331014,0.9595369129430551
29,0.9982819094331014,0.9595939433687872
30,0.9982819094331014,0.9596224585816533
