epoch,train_score,val_score
1,0.9972505027652087,0.9530354444095925
2,0.9981146304675717,0.9565428155921184
3,0.9983241159711748,0.9577404545324931
4,0.9983607759343054,0.9578545153839574
5,0.9983607759343054,0.9576263936810289
6,0.9983764873470756,0.9580256066611538
7,0.9983764873470756,0.9582252131512162
8,0.9983817244846657,0.9582537283640823
9,0.9983817244846657,0.9582822435769484
10,0.9983817244846657,0.9583392740026804
11,0.9983817244846657,0.9580826370868859
12,0.9983817244846657,0.9583107587898144
13,0.9983817244846657,0.9582822435769484
14,0.9983817244846657,0.9584818500670107
15,0.9983817244846657,0.9587955174085374
16,0.9983817244846657,0.9589951238985999
17,0.9983817244846657,0.9589095782600017
18,0.9983817244846657,0.9589380934728677
19,0.9983817244846657,0.9589095782600017
20,0.9983817244846657,0.9588810630471356
21,0.9983817244846657,0.9587955174085374
22,0.9983817244846657,0.9589951238985999
23,0.9983817244846657,0.9588810630471356
24,0.9983817244846657,0.9592232456015284
25,0.9983817244846657,0.9591091847500641
26,0.9983817244846657,0.9589380934728677
27,0.9983817244846657,0.9588810630471356
28,0.9983817244846657,0.958595910918475
29,0.9983817244846657,0.9589095782600017
30,0.9983817244846657,0.958595910918475
